Age,Weight,Height,Gender,Shoulder_girth,Chest_girth,Waist_girth,Abdominal_girth,Hip_girth
21,65.6,174,1,106.2,89.5,71.5,74.5,93.5
23,71.8,175.3,1,110.5,97,79,86.5,94.8
28,80.7,193.5,1,115.1,97.5,83.2,82.9,95
23,72.6,186.5,1,104.5,97,77.8,78.8,94
22,78.8,187.2,1,107.5,97.5,80,82.5,98.5
21,74.8,181.5,1,119.8,99.9,82.5,80.1,95.3
26,86.4,184,1,123.5,106.9,82,84,101
27,78.4,184.5,1,120.4,102.5,76.8,80.5,98
23,62,175,1,111,91,68.5,69,89.5
21,81.6,184,1,119.5,93.5,77.5,81.5,99.8
23,76.6,180,1,117.1,97.7,81.9,81,98.4
22,83.6,177.8,1,123.5,99.5,82.6,82.5,95
20,90,192,1,116.5,103,85,94.5,103
26,74.6,176,1,113,99.6,85.6,89.2,98
23,71,174,1,107.5,101.5,78,89.5,95
22,79.6,184,1,112,104.1,82,84,97
30,93.8,192.7,1,112.2,100,88.3,93.5,105
22,70,171.5,1,120,93.8,73.6,74.9,90.1
29,72.4,173,1,109,98.5,78.5,86,94.5
22,85.9,176,1,118.5,104,87.3,88,101.1
22,78.8,176,1,116,100,92,91,98
20,77.8,180.5,1,111,100,80,83.7,99.5
22,66.2,172.7,1,117.7,99,74.5,75.9,92.2
24,86.4,176,1,123.9,101,90.6,89.6,101.2
26,81.8,173.5,1,120.6,101.6,81.4,81.6,98.8
24,89.6,178,1,129.5,108.8,89.5,89.5,106
21,82.8,180.3,1,115,100,85,94.5,105
24,76.4,180.3,1,116,88,73.5,77.7,97
23,63.2,164.5,1,107.8,88.7,75.8,83,89
19,60.9,173,1,100.2,84.5,74,81,93.5
23,74.8,183.5,1,113,93.6,77.5,82.1,95
25,70,175.5,1,117.9,105,74,72,90
23,72.4,188,1,112.5,90.9,74,78.8,96.4
23,84.1,189.2,1,110.5,91.2,82,89.5,100
23,69.1,172.8,1,112,98.4,73,83,95.4
20,59.5,170,1,104,85,70.5,84,90
22,67.2,182,1,114.8,97.2,75,77.2,91.3
24,61.3,170,1,108,91.5,72.1,79.2,91
22,68.6,177.8,1,111.2,91.2,78.8,78,93.2
24,80.1,184.2,1,118.3,101.1,77.5,78,97
21,87.8,186.7,1,115.2,104.3,91.5,93.2,103.9
23,84.7,171.4,1,129.9,110.8,84.9,83,102.6
24,73.4,172.7,1,112.9,96.3,79.1,78.3,97.1
35,72.1,175.3,1,112.2,102.7,77.9,77.9,90.7
29,82.6,180.3,1,117.1,103.9,91.7,89.4,101.8
25,88.7,182.9,1,118.7,105.6,86.6,87.3,103.9
23,84.1,188,1,109.2,95.8,84.7,84,101.4
20,94.1,177.2,1,128.1,111.2,90.3,93.5,108.7
25,74.9,172.1,1,113.3,100,79.7,87.1,98.4
29,59.1,167,1,108.4,91.6,73.1,75.4,86.5
23,75.6,169.5,1,118.7,108,79.8,82.5,94.8
