Exp_Part,Genotype,Sex,Coord_X,Coord_Y
1,White,Male,1237.99,1525.897
1,White,Male,1215.481,1529.138
1,White,Male,1189.926,1526.479
1,White,Male,1263.882,1529
1,White,Male,1169.444,1531.463
1,White,Male,1286.599,1538.756
1,White,Male,1185.338,1540.752
1,White,Male,1306.546,1540.649
1,White,Male,1321.833,1547.652
1,White,Male,1334.688,1558.109
1,White,Male,1185.5,1559
1,White,Male,1204.025,1566.487
1,White,Male,1339.3,1569.338
1,White,Male,1306.115,1572.1
1,White,Male,1208.722,1581.743
1,White,Male,1376.133,1577.617
1,White,Male,1299.846,1583.241
1,White,Male,1316.118,1580.711
1,White,Male,1338.667,1589.917
1,White,Male,1184,1591.5
1,White,Male,1229.797,1590.297
1,White,Male,1328.551,1597.513
1,White,Male,1314.934,1603.234
1,White,Male,1387.628,1601.145
1,White,Male,1204.315,1599.115
1,White,Male,1241.333,1609.738
1,White,Male,1281.698,1606.315
1,White,Male,1208.176,1611.635
1,White,Male,1298.058,1616.318
1,White,Male,1274.795,1617
1,White,Male,1316.597,1617.361
1,White,Male,1253.543,1619.196
1,White,Male,1337,1626.5
1,White,Male,1311.007,1626.692
1,White,Male,1362.632,1635.882
1,White,Male,1272.827,1642.445
1,White,Male,1025.42,1667.06
1,White,Male,1144.917,1712.317
1,White,Male,1271.163,1716.343
1,White,Male,1110.197,1733.526
1,White,Male,1188.555,1774.427
1,White,Male,1125.736,1783.556
1,White,Male,1024.267,1798.938
1,White,Male,1084.658,1814.816
1,White,Male,1090.214,1867.857
1,White,Male,1311.955,1926.136
